source,target,string_score
PTEN,EIF4G1,0.439
PTEN,KDM1A,0.457
PTEN,ELAVL2,0.464
PTEN,RPS6KA2,0.477
PTEN,SPRY2,0.477
PTEN,PDK2,0.478
PTEN,FHIT,0.478
PTEN,FOXP1,0.48
PTEN,SHANK3,0.483
PTEN,FAT1,0.485
PTEN,CUL4B,0.485
PTEN,PRKCA,0.486
PTEN,EPHB1,0.486
PTEN,PPP3CA,0.489
PTEN,TET2,0.493
PTEN,NLGN1,0.496
PTEN,MECP2,0.496
PTEN,RPS6KA3,0.499
PTEN,NSD2,0.507
PTEN,ARID1B,0.51
PTEN,CHD1,0.52
PTEN,KMT2A,0.538
PTEN,PTPRC,0.544
PTEN,GRIN2B,0.547
PTEN,NLGN4X,0.556
PTEN,PPP2CA,0.558
PTEN,AGO3,0.572
PTEN,KDM6A,0.581
PTEN,HNRNPK,0.588
PTEN,SETD2,0.592
PTEN,ZEB2,0.595
PTEN,NTRK1,0.608
PTEN,TNRC6B,0.612
PTEN,TCF7L2,0.612
PTEN,AGO4,0.615
PTEN,MYOCD,0.628
PTEN,EIF4E,0.667
PTEN,FGFR1,0.682
PTEN,ACTB,0.72
PTEN,WWP1,0.727
PTEN,PTPN11,0.745
PTEN,DLG4,0.745
PTEN,AGO1,0.755
PTEN,NOTCH1,0.758
PTEN,ATRX,0.779
PTEN,IGF1,0.795
PTEN,HRAS,0.823
PTEN,PIK3CG,0.836
PTEN,BRCA2,0.877
PTEN,AR,0.892
PTEN,PLCD4,0.902
PTEN,CSNK2B,0.91
PTEN,SYNJ1,0.93
PTEN,CTNNB1,0.943
PTEN,BRAF,0.943
PTEN,FRK,0.947
PTEN,UBE3A,0.96
PTEN,NEDD4,0.984
PIK3CA,BAIAP2L1,0.474
PIK3CA,SOS2,0.86
PIK3CA,TSC2,0.687
PIK3CA,PIK3R2,0.999
PIK3CA,PXDN,0.479
PIK3CA,H3-3B,0.435
PIK3CA,RHEB,0.513
PIK3CA,KMT2C,0.676
PIK3CA,CREBBP,0.697
PIK3CA,PHLPP1,0.409
PIK3CA,MAPK3,0.597
PIK3CA,EP300,0.526
PIK3CA,PRKN,0.402
PIK3CA,SYNGAP1,0.412
PIK3CA,TBL1XR1,0.415
PIK3CA,SLITRK5,0.419
PIK3CA,CYFIP1,0.428
PIK3CA,NCKAP1,0.43
PIK3CA,DEPDC5,0.433
PIK3CA,PTPRD,0.436
PIK3CA,PPM1D,0.438
PIK3CA,PPP3CA,0.441
PIK3CA,MAP4K4,0.442
PIK3CA,TSC1,0.443
PIK3CA,AGAP2,0.443
PIK3CA,RPS6KA3,0.444
PIK3CA,MUC4,0.455
PIK3CA,PTPRC,0.457
PIK3CA,TRAF7,0.464
PIK3CA,NSD1,0.465
PIK3CA,PDCD1,0.473
PIK3CA,FGF13,0.481
PIK3CA,ERBIN,0.488
PIK3CA,CUL3,0.496
PIK3CA,ACTB,0.509
PIK3CA,SMARCA4,0.509
PIK3CA,PTCH1,0.511
PIK3CA,IGF1,0.512
PIK3CA,SYNE1,0.516
PIK3CA,PAK1,0.519
PIK3CA,ARID1B,0.53
PIK3CA,PAK2,0.532
PIK3CA,ZMYM2,0.542
PIK3CA,TTN,0.546
PIK3CA,PRKCB,0.551
PIK3CA,PRKDC,0.559
PIK3CA,HLA-A,0.561
PIK3CA,ARID2,0.562
PIK3CA,SETD2,0.564
PIK3CA,CUX1,0.565
PIK3CA,KDM6A,0.565
PIK3CA,DLG1,0.569
PIK3CA,AR,0.571
PIK3CA,CSMD3,0.571
PIK3CA,ESR2,0.575
PIK3CA,LZTR1,0.58
PIK3CA,EIF4E,0.591
PIK3CA,CLTC,0.613
PIK3CA,PRKCA,0.64
PIK3CA,ATRX,0.641
PIK3CA,PLCD4,0.652
PIK3CA,FAT1,0.653
PIK3CA,KMT2D,0.664
PIK3CA,NTRK2,0.675
PIK3CA,GNB2,0.677
PIK3CA,TEK,0.691
PIK3CA,OCRL,0.695
PIK3CA,SPTBN1,0.696
PIK3CA,GNAS,0.697
PIK3CA,SYNJ1,0.704
PIK3CA,PLCB1,0.704
PIK3CA,NTRK3,0.745
PIK3CA,RAC1,0.747
PIK3CA,YWHAZ,0.759
PIK3CA,PPP2R1A,0.773
PIK3CA,NOTCH1,0.786
PIK3CA,RICTOR,0.792
PIK3CA,NF1,0.793
PIK3CA,SMAD4,0.805
PIK3CA,BRCA2,0.812
PIK3CA,GRB10,0.838
PIK3CA,THRA,0.901
PIK3CA,CTNNB1,0.901
PIK3CA,ARID1A,0.913
PIK3CA,GNAI1,0.914
PIK3CA,PREX1,0.925
PIK3CA,BRAF,0.947
PIK3CA,RAP1A,0.948
PIK3CA,NTRK1,0.96
PIK3CA,MET,0.961
PIK3CA,MTOR,0.963
PIK3CA,FGFR1,0.977
PIK3CA,PTPN11,0.99
PIK3CA,HRAS,0.995
PIK3CA,PIK3CG,0.997
MET,RANBP9,0.716
MET,CTTNBP2,0.556
MET,PIK3R2,0.768
MET,LAMB1,0.509
MET,PXDN,0.495
MET,SRSF1,0.447
MET,THBS1,0.627
MET,SLCO1B3,0.402
MET,RHEB,0.416
MET,ST7,0.445
MET,CDH2,0.75
MET,TFE3,0.557
MET,PLAUR,0.412
MET,ZEB2,0.418
MET,PTGS2,0.422
MET,PTK7,0.431
MET,PDCD1,0.432
MET,PTPRB,0.449
MET,NLGN3,0.449
MET,PTCHD1,0.45
MET,AUTS2,0.452
MET,CNTNAP2,0.456
MET,SHANK2,0.456
MET,DPP4,0.457
MET,SMAD4,0.463
MET,LAMA1,0.467
MET,NLGN4X,0.472
MET,SLC9A9,0.475
MET,NF1,0.482
MET,WWOX,0.494
MET,AR,0.507
MET,CLTC,0.511
MET,PTPRC,0.514
MET,DNM1,0.522
MET,NOTCH1,0.523
MET,ACTB,0.568
MET,FOXP2,0.601
MET,FGF13,0.601
MET,MTOR,0.62
MET,NTRK1,0.646
MET,NRP2,0.651
MET,PLCB1,0.662
MET,RAP1A,0.666
MET,RAC1,0.703
MET,MECP2,0.778
MET,IGF1,0.908
MET,PTPN11,0.927
MET,HRAS,0.961
MET,CTNND1,0.977
MET,CTNNB1,0.985
MET,PLXNB1,0.996
MAPK3,PPP5C,0.482
MAPK3,SOS2,0.505
MAPK3,TSC2,0.96
MAPK3,PIK3R2,0.409
MAPK3,SERPINE1,0.506
MAPK3,CYP27B1,0.529
MAPK3,TRAP1,0.488
MAPK3,LRRC4,0.549
MAPK3,PXDN,0.848
MAPK3,GFAP,0.522
MAPK3,H3-3B,0.614
MAPK3,PEBP4,0.423
MAPK3,THBS1,0.427
MAPK3,RHEB,0.493
MAPK3,CREBBP,0.701
MAPK3,RAB2A,0.734
MAPK3,PHLPP1,0.421
MAPK3,PPM1D,0.404
MAPK3,PRKDC,0.404
MAPK3,CNR1,0.405
MAPK3,PLAUR,0.406
MAPK3,BACE1,0.406
MAPK3,NCKAP1,0.409
MAPK3,PTDSS1,0.409
MAPK3,PAK2,0.411
MAPK3,H1-4,0.411
MAPK3,GRM5,0.414
MAPK3,DNAJC5,0.417
MAPK3,GRIN2A,0.425
MAPK3,FLNA,0.425
MAPK3,ADCY5,0.442
MAPK3,RAPGEF4,0.446
MAPK3,ACE,0.447
MAPK3,APH1A,0.45
MAPK3,KNG1,0.452
MAPK3,SOD1,0.465
MAPK3,SYNE1,0.465
MAPK3,TAOK2,0.466
MAPK3,WASF1,0.466
MAPK3,NR4A2,0.47
MAPK3,CYFIP1,0.474
MAPK3,CACNA1A,0.475
MAPK3,CYFIP2,0.48
MAPK3,PIK3CG,0.482
MAPK3,KCTD13,0.484
MAPK3,RICTOR,0.484
MAPK3,PPP2R5D,0.486
MAPK3,CTNND1,0.49
MAPK3,MYOCD,0.497
MAPK3,ADRB2,0.506
MAPK3,SYN2,0.515
MAPK3,ADCY3,0.516
MAPK3,CNKSR2,0.522
MAPK3,ITPR1,0.524
MAPK3,DLG4,0.525
MAPK3,FOXP2,0.532
MAPK3,EIF4E,0.533
MAPK3,PPP3CA,0.534
MAPK3,SMARCA4,0.535
MAPK3,FGA,0.539
MAPK3,FGFR1,0.543
MAPK3,ARHGEF2,0.543
MAPK3,MEF2C,0.547
MAPK3,NF1,0.547
MAPK3,PPP2R5C,0.55
MAPK3,CX3CR1,0.573
MAPK3,HDAC4,0.581
MAPK3,TEK,0.59
MAPK3,PTPRB,0.6
MAPK3,SYN1,0.602
MAPK3,SPRY2,0.604
MAPK3,CDH2,0.629
MAPK3,EP300,0.655
MAPK3,GRIN2B,0.666
MAPK3,RAC1,0.679
MAPK3,NTRK1,0.681
MAPK3,AR,0.681
MAPK3,RAP1A,0.686
MAPK3,LEP,0.691
MAPK3,PTPRC,0.692
MAPK3,IGF1,0.697
MAPK3,DCC,0.698
MAPK3,KSR2,0.709
MAPK3,NOTCH1,0.714
MAPK3,FGF13,0.717
MAPK3,SMAD4,0.744
MAPK3,ITGB3,0.758
MAPK3,MTOR,0.762
MAPK3,GNB2,0.806
MAPK3,ACTB,0.844
MAPK3,PTGS2,0.855
MAPK3,CTNNB1,0.873
MAPK3,PPP2R1B,0.913
MAPK3,ATP1A3,0.921
MAPK3,PPP2R1A,0.932
MAPK3,TSC1,0.94
MAPK3,ATP1A1,0.942
MAPK3,SLC9A1,0.946
MAPK3,PRKCB,0.949
MAPK3,GNAI1,0.953
MAPK3,ESR2,0.955
MAPK3,PRKCA,0.956
MAPK3,BRAF,0.96
MAPK3,MAPT,0.968
MAPK3,PPP2CA,0.971
MAPK3,HRAS,0.983
MAPK3,RPS6KA3,0.984
MAPK3,RPS6KA2,0.986
MAPK3,PTPN11,0.99
MYH10,MYH9,0.985
MYH10,ACTN4,0.457
MYH10,MYH4,0.761
MYH10,PAK1,0.518
MYH10,SCN3A,0.524
MYH10,PAK2,0.535
MYH10,USP45,0.499
MYH10,MAP4K4,0.428
MYH10,RAC1,0.584
MYH10,MYLK,0.807
MYH10,FAT1,0.401
MYH10,MYO5A,0.409
MYH10,IQGAP3,0.425
MYH10,ITGA8,0.434
MYH10,FLNA,0.443
MYH10,DNM1,0.475
MYH10,SCN2A,0.515
MYH10,SCN9A,0.52
MYH10,ACTB,0.957
USP9X,USP30,0.491
USP9X,NUAK1,0.891
USP9X,MIB1,0.592
USP9X,PAK1,0.43
USP9X,ANK3,0.413
USP9X,NIPBL,0.484
USP9X,USP24,0.406
USP9X,RICTOR,0.577
USP9X,YWHAG,0.527
USP9X,PAK2,0.471
USP9X,PEX7,0.543
USP9X,OFD1,0.4
USP9X,WAC,0.405
USP9X,RLIM,0.415
USP9X,TRIM33,0.418
USP9X,PJA1,0.432
USP9X,UBE3A,0.437
USP9X,PPP2R1A,0.456
USP9X,MARK2,0.462
USP9X,PRICKLE1,0.464
USP9X,SMARCA4,0.464
USP9X,BIRC6,0.467
USP9X,CYFIP1,0.471
USP9X,NEDD4,0.473
USP9X,MTOR,0.476
USP9X,PRICKLE2,0.479
USP9X,YWHAZ,0.485
USP9X,ARHGEF2,0.49
USP9X,PCDH11X,0.495
USP9X,BTRC,0.496
USP9X,TBL1X,0.509
USP9X,ATRX,0.511
USP9X,NLGN4X,0.525
USP9X,ANKRD17,0.569
USP9X,ERG,0.571
USP9X,UBR5,0.603
USP9X,HECTD1,0.61
USP9X,KDM6A,0.683
USP9X,PCM1,0.69
USP9X,USP7,0.739
USP9X,TRIP12,0.749
USP9X,KDM5C,0.751
USP9X,SMURF1,0.754
USP9X,ZFX,0.777
USP9X,DDX3X,0.816
USP9X,WWP1,0.845
USP9X,CTNNB1,0.88
USP9X,HUWE1,0.908
USP9X,SMAD4,0.971
RAPGEF4,DLX2,0.473
RAPGEF4,SNAP25,0.747
RAPGEF4,SYT1,0.527
RAPGEF4,PDE3B,0.447
RAPGEF4,ADCY1,0.946
RAPGEF4,NLGN2,0.49
RAPGEF4,ADRB2,0.753
RAPGEF4,ITPR1,0.416
RAPGEF4,PCLO,0.989
RAPGEF4,DPP4,0.418
RAPGEF4,RAP1A,0.994
RAPGEF4,GNAS,0.651
RAPGEF4,YWHAZ,0.502
RAPGEF4,PDE1C,0.428
RAPGEF4,UNC13A,0.416
RAPGEF4,NLGN1,0.523
RAPGEF4,PRKAR1B,0.544
RAPGEF4,SLC25A12,0.549
RAPGEF4,RIMS1,0.848
RAPGEF4,GNAI1,0.908
RAPGEF4,RASSF5,0.921
RAPGEF4,ADCY3,0.933
RAPGEF4,ADCY5,0.955
RAPGEF4,RIMS2,0.996
MTOR,SOS2,0.48
MTOR,TSC2,0.99
MTOR,PIK3R2,0.944
MTOR,TRAP1,0.428
MTOR,PXDN,0.674
MTOR,PER2,0.56
MTOR,H3-3B,0.508
MTOR,SRSF1,0.562
MTOR,SLC7A5,0.601
MTOR,RHEB,0.999
MTOR,YY1,0.626
MTOR,PKD1,0.621
MTOR,CREBBP,0.412
MTOR,PHLPP1,0.561
MTOR,EP300,0.638
MTOR,HDAC4,0.401
MTOR,CDH2,0.464
MTOR,SOD1,0.44
MTOR,NTRK2,0.513
MTOR,ACE,0.436
MTOR,MAP1B,0.696
MTOR,RICTOR,0.999
MTOR,TSC1,0.974
MTOR,MAP1A,0.728
MTOR,PSMC5,0.994
MTOR,LEP,0.731
MTOR,PRKDC,0.582
MTOR,TFE3,0.579
MTOR,GLS,0.405
MTOR,HOMER1,0.522
MTOR,PDCD1,0.507
MTOR,LARP1,0.657
MTOR,KPTN,0.526
MTOR,SMAD4,0.54
MTOR,RAC1,0.5
MTOR,NF1,0.616
MTOR,VCP,0.456
MTOR,XRCC6,0.433
MTOR,TRRAP,0.774
MTOR,NTRK3,0.411
MTOR,BRCA2,0.407
MTOR,GRIN2B,0.413
MTOR,PTPRC,0.422
MTOR,PPP2CA,0.428
MTOR,PHB,0.438
MTOR,UBR5,0.442
MTOR,FGFR1,0.45
MTOR,BCKDK,0.453
MTOR,BTRC,0.468
MTOR,RAP1A,0.47
MTOR,GRIA1,0.487
MTOR,PREX1,0.488
MTOR,DLG4,0.492
MTOR,PTPN11,0.499
MTOR,FMR1,0.508
MTOR,BRSK2,0.52
MTOR,SETD2,0.52
MTOR,NTRK1,0.539
MTOR,PRKD2,0.541
MTOR,AR,0.548
MTOR,RPS6KA2,0.57
MTOR,PTGS2,0.575
MTOR,NOTCH1,0.585
MTOR,UBE3A,0.588
MTOR,RPS6KA3,0.6
MTOR,PRKD1,0.609
MTOR,KDM5C,0.63
MTOR,YWHAZ,0.653
MTOR,BRAF,0.654
MTOR,HRAS,0.669
MTOR,PDK2,0.688
MTOR,CTNNB1,0.694
MTOR,EIF4G1,0.719
MTOR,ACTB,0.752
MTOR,DEPDC5,0.756
MTOR,PRKN,0.781
MTOR,IGF1,0.781
MTOR,EIF3F,0.805
MTOR,PIK3CG,0.857
MTOR,GPHN,0.903
MTOR,PRKCB,0.937
MTOR,EIF4E,0.962
MTOR,PRKCA,0.969
MTOR,UBAP2L,0.994
RAP1A,TSC2,0.79
RAP1A,PIK3R2,0.912
RAP1A,SGSM3,0.649
RAP1A,ARF3,0.426
RAP1A,RAPGEF2,0.996
RAP1A,PDE3B,0.414
RAP1A,DGKI,0.532
RAP1A,NF1,0.477
RAP1A,XRCC6,0.441
RAP1A,KIF14,0.432
RAP1A,FGA,0.45
RAP1A,CNKSR2,0.46
RAP1A,KSR2,0.489
RAP1A,ITGB3,0.518
RAP1A,DOCK1,0.52
RAP1A,ITSN1,0.535
RAP1A,SENP6,0.577
RAP1A,TLN2,0.606
RAP1A,SYNGAP1,0.608
RAP1A,NTRK1,0.693
RAP1A,HRAS,0.703
RAP1A,YWHAZ,0.783
RAP1A,SHANK3,0.801
RAP1A,CAMK2B,0.9
RAP1A,PRKD2,0.905
RAP1A,CAMK2A,0.905
RAP1A,PRKD1,0.91
RAP1A,DOCK4,0.936
RAP1A,BRAF,0.989
RAP1A,RASSF5,0.992
SOS2,PPP3CA,0.41
SOS2,TSC1,0.474
SOS2,ARF3,0.477
SOS2,YWHAZ,0.496
SOS2,PRKCA,0.518
SOS2,LAMB1,0.549
SOS2,PAK2,0.59
SOS2,LZTR1,0.611
SOS2,PAK1,0.612
SOS2,BRAF,0.631
SOS2,NF1,0.633
SOS2,RAC1,0.665
SOS2,FGFR1,0.937
SOS2,HRAS,0.981
SOS2,PTPN11,0.994
PPP2CA,CTTNBP2,0.995
PPP2CA,CSNK2A1,0.565
PPP2CA,TSC2,0.476
PPP2CA,PPFIA1,0.994
PPP2CA,PPP1R1B,0.501
PPP2CA,H3-3B,0.508
PPP2CA,SMG6,0.692
PPP2CA,EP300,0.417
PPP2CA,YWHAE,0.65
PPP2CA,CUL3,0.491
PPP2CA,HDAC4,0.683
PPP2CA,CACNA1C,0.747
PPP2CA,PAK1,0.452
PPP2CA,CACNA1D,0.684
PPP2CA,WNT1,0.532
PPP2CA,RAD21,0.463
PPP2CA,CACNG2,0.65
PPP2CA,ITPR1,0.41
PPP2CA,YWHAG,0.413
PPP2CA,LEMD3,0.561
PPP2CA,INTS6,0.999
PPP2CA,PPP2R1B,0.999
PPP2CA,PABPC1,0.716
PPP2CA,PRKDC,0.47
PPP2CA,DVL3,0.515
PPP2CA,CACNB2,0.668
PPP2CA,FBXL13,0.413
PPP2CA,PPP2R1A,0.999
PPP2CA,PRR14L,0.666
PPP2CA,SF3B1,0.512
PPP2CA,PPFIA3,0.994
PPP2CA,MAPT,0.684
PPP2CA,USP7,0.68
PPP2CA,MAP4K4,0.414
PPP2CA,CCNG1,0.625
PPP2CA,MINK1,0.786
PPP2CA,RAC1,0.475
PPP2CA,CACNA2D1,0.665
PPP2CA,VCP,0.626
PPP2CA,ARHGEF2,0.408
PPP2CA,DRD2,0.915
PPP2CA,BTRC,0.602
PPP2CA,FMR1,0.55
PPP2CA,SET,0.928
PPP2CA,CSNK2B,0.488
PPP2CA,CACNA1F,0.672
PPP2CA,SPRY2,0.776
PPP2CA,CACNB1,0.668
PPP2CA,CCT4,0.995
PPP2CA,PPP3CA,0.937
PPP2CA,YWHAZ,0.401
PPP2CA,XPO1,0.484
PPP2CA,INTS1,0.998
PPP2CA,TAF1,0.459
PPP2CA,HRAS,0.543
PPP2CA,PRKCA,0.928
PPP2CA,PPP2R5C,0.999
PPP2CA,EIF4G1,0.611
PPP2CA,ANP32A,0.851
PPP2CA,PPP2R5D,0.999
PPP2CA,SETBP1,0.454
PPP2CA,EIF4E,0.524
PPP2CA,ACTB,0.567
PPP2CA,PTPN11,0.624
PPP2CA,BRAF,0.647
PPP2CA,CACNA2D3,0.663
PPP2CA,CTNNB1,0.701
PPP2CA,POLR2A,0.845
PPP2CA,PRKCB,0.914
TSC2,GRB10,0.402
TSC2,SMARCA4,0.406
TSC2,SETD2,0.408
TSC2,SCN1A,0.416
TSC2,FGFR1,0.422
TSC2,KMT2D,0.427
TSC2,PXDN,0.431
TSC2,ARF3,0.438
TSC2,HERC1,0.44
TSC2,KDM5C,0.443
TSC2,ADCY5,0.444
TSC2,FOXG1,0.445
TSC2,BRCA2,0.445
TSC2,PRKCA,0.451
TSC2,NLGN4X,0.459
TSC2,PIK3CG,0.461
TSC2,NLGN3,0.471
TSC2,PDK2,0.474
TSC2,NASP,0.483
TSC2,ARID1A,0.488
TSC2,ATRX,0.49
TSC2,ACTB,0.492
TSC2,PIK3R2,0.501
TSC2,PHLPP1,0.507
TSC2,MECP2,0.507
TSC2,TRIM23,0.511
TSC2,NAA10,0.515
TSC2,CTNNB1,0.517
TSC2,PRKD1,0.525
TSC2,PRKDC,0.534
TSC2,HRAS,0.534
TSC2,SHANK3,0.537
TSC2,EIF4G1,0.553
TSC2,TFE3,0.556
TSC2,BRSK2,0.569
TSC2,IGF1,0.585
TSC2,FMR1,0.619
TSC2,DYRK1A,0.625
TSC2,TRAP1,0.644
TSC2,MYCBP2,0.694
TSC2,DEPDC5,0.702
TSC2,NF1,0.709
TSC2,YWHAE,0.792
TSC2,BRAF,0.832
TSC2,YWHAG,0.838
TSC2,EIF4E,0.862
TSC2,RICTOR,0.908
TSC2,PKD1,0.951
TSC2,YWHAZ,0.952
TSC2,RPS6KA3,0.96
TSC2,RPS6KA2,0.96
TSC2,UBE3A,0.981
TSC2,TSC1,0.999
TSC2,RHEB,0.999
NF1,MSX2,0.403
NF1,GFAP,0.47
NF1,H3-3B,0.795
NF1,PSMD11,0.426
NF1,RHEB,0.538
NF1,KMT2C,0.645
NF1,YY1,0.688
NF1,CREBBP,0.547
NF1,PHLPP1,0.469
NF1,SYP,0.454
NF1,EP300,0.501
NF1,YWHAE,0.44
NF1,CUL3,0.669
NF1,DNMT3A,0.53
NF1,NTRK2,0.416
NF1,RICTOR,0.434
NF1,CSMD3,0.447
NF1,TSC1,0.527
NF1,KMT2D,0.549
NF1,PPM1D,0.435
NF1,SDC2,0.593
NF1,PSMC5,0.437
NF1,ARID1A,0.65
NF1,RNF135,0.684
NF1,IKZF1,0.45
NF1,PTCH1,0.515
NF1,ARID2,0.654
NF1,DYRK1A,0.467
NF1,SMAD4,0.873
NF1,SMARCA4,0.751
NF1,PSMD12,0.4
NF1,RAC1,0.428
NF1,PSMD6,0.4
NF1,NSD1,0.414
NF1,DNM1,0.415
NF1,PIK3CG,0.415
NF1,PTPRD,0.429
NF1,RAB11FIP4,0.432
NF1,BCORL1,0.435
NF1,FAT1,0.437
NF1,VCP,0.462
NF1,FMR1,0.473
NF1,KMT2A,0.484
NF1,NFIA,0.49
NF1,NFIB,0.498
NF1,PAX6,0.503
NF1,SETBP1,0.505
NF1,GNAS,0.509
NF1,BIRC6,0.509
NF1,KDM6A,0.513
NF1,NTRK3,0.522
NF1,TBL1XR1,0.534
NF1,NFIX,0.537
NF1,UBE3A,0.538
NF1,POLR2A,0.538
NF1,NTRK1,0.553
NF1,CTNNB1,0.555
NF1,XPO1,0.567
NF1,ARID1B,0.567
NF1,NOTCH1,0.588
NF1,SYNGAP1,0.599
NF1,SETD2,0.605
NF1,TET2,0.61
NF1,FGFR1,0.618
NF1,CSDE1,0.643
NF1,CTCF,0.647
NF1,LZTR1,0.66
NF1,BRCA2,0.75
NF1,ATRX,0.753
NF1,PTPN11,0.852
NF1,BRAF,0.903
NF1,HRAS,0.994
RALGAPA1,PHF3,0.453
RALGAPA1,RALGAPB,0.825
RALGAPA1,BTAF1,0.446
RALGAPA1,PAK1,0.405
RALGAPA1,PAK2,0.413
RALGAPA1,VCP,0.41
RALGAPA1,ARHGAP5,0.493
RALGAPA1,ASH1L,0.46
RALGAPA1,MBD5,0.402
RALGAPA1,AP2M1,0.563
RAC1,BAIAP2L1,0.593
RAC1,MYH9,0.653
RAC1,PIK3R2,0.512
RAC1,ARF3,0.431
RAC1,EXOC6,0.546
RAC1,RHEB,0.465
RAC1,PHLPP1,0.513
RAC1,HACE1,0.866
RAC1,SOD1,0.448
RAC1,NTRK2,0.612
RAC1,PAK1,0.999
RAC1,SH3RF1,0.608
RAC1,WNT1,0.596
RAC1,LEMD3,0.547
RAC1,ARHGAP32,0.823
RAC1,PAK2,0.983
RAC1,DVL3,0.593
RAC1,TRAF7,0.489
RAC1,TRIO,0.994
RAC1,PLAUR,0.41
RAC1,OPHN1,0.635
RAC1,FMR1,0.409
RAC1,PRKCA,0.448
RAC1,NR3C2,0.449
RAC1,CLTC,0.468
RAC1,ARHGAP30,0.473
RAC1,DSCAM,0.522
RAC1,EXOC3,0.523
RAC1,EXOC5,0.523
RAC1,ADGRB1,0.533
RAC1,MYO9B,0.537
RAC1,ARHGAP5,0.541
RAC1,MYLK,0.543
RAC1,SET,0.543
RAC1,GRIN1,0.552
RAC1,KIF14,0.575
RAC1,EPHB1,0.578
RAC1,GRIN2B,0.579
RAC1,DCC,0.581
RAC1,ERBIN,0.586
RAC1,EPHB2,0.588
RAC1,ARHGEF10,0.604
RAC1,OCRL,0.609
RAC1,FLNA,0.622
RAC1,PLXNB1,0.629
RAC1,ARHGEF9,0.63
RAC1,CDC42BPA,0.647
RAC1,CTNND1,0.65
